email_text,type
"Alert Title:    Rack Inlet 3 High Temperature Violation
Alert Description:

Rack inlet 3 high temperature violation exists.

Recommended Action: Make sure the temperature sensor is placed properly. At the management interface, make sure the threshold is set correctly in the 'Unit Thresholds' page. If the problem persists, contact APC Support (http://www.apc.com/go/direct/index.cfm?tag=support).

Alert Type:     Device Alarm
Severity:       Critical
Alert Level:    Tendo
Device: WVL SWITCH INROW 8 (10.254.247.92)
Time Detected:  07/02/23 06:59:28
Notification Time:      07/02/23 07:04:28
Notification Policy:    Willowvale
Action Name:    Tendo
Location:       WILLOWVALE NEW EQUIPMENT ROOM
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.1.1 PF:v3.9.2 PN:apc_hw03_aos_392.bin AF1:v3.9.1 AN1:apc_hw03_acrp_391.bin MN:ACRP102 HR:04 SN: JK1451001098 MD:12/19/2014)
Alert ID:       nbErrorCond_5271A5A4
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Alert Title:    Rack Inlet 1 High Temperature Violation
Alert Description:

Rack inlet 1 high temperature violation exists.

Recommended Action: Make sure the temperature sensor is placed properly. At the management interface, make sure the threshold is set correctly in the 'Unit Thresholds' page. If the problem persists, contact APC Support (http://www.apc.com/go/direct/index.cfm?tag=support).

Alert Type:     Device Alarm
Severity:       Critical
Alert Level:    Tendo
Device: WVL SWITCH INROW 8 (10.254.247.92)
Time Detected:  07/02/23 06:59:28
Notification Time:      07/02/23 07:04:28
Notification Policy:    Willowvale
Action Name:    Tendo
Location:       WILLOWVALE NEW EQUIPMENT ROOM
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.1.1 PF:v3.9.2 PN:apc_hw03_aos_392.bin AF1:v3.9.1 AN1:apc_hw03_acrp_391.bin MN:ACRP102 HR:04 SN: JK1451001098 MD:12/19/2014)
Alert ID:       nbErrorCond_46889F2F
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Alert Title:    Rack Inlet 3 High Temperature Violation Cleared
Alert Description:

Rack inlet 3 high temperature violation no longer exists.

Alert Type:     Device Alarm
Severity:       Critical (returned to normal)
Alert Level:    Return To Normal
Device: WVL SWITCH INROW 8 (10.254.247.92)
Time Detected:  07/02/23 06:59:28
Time Returned to Normal:        07/02/23 07:08:21
Notification Time:      07/02/23 07:08:38
Action Name:    Tendo
Location:       WILLOWVALE NEW EQUIPMENT ROOM
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.1.1 PF:v3.9.2 PN:apc_hw03_aos_392.bin AF1:v3.9.1 AN1:apc_hw03_acrp_391.bin MN:ACRP102 HR:04 SN: JK1451001098 MD:12/19/2014)
Alert ID:       nbErrorCond_5271A5A4
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Alert Title:    Rack Inlet 1 High Temperature Violation Cleared
Alert Description:

Rack inlet 1 high temperature violation no longer exists.

Alert Type:     Device Alarm
Severity:       Critical (returned to normal)
Alert Level:    Return To Normal
Device: WVL SWITCH INROW 8 (10.254.247.92)
Time Detected:  07/02/23 06:59:28
Time Returned to Normal:        07/02/23 07:08:21
Notification Time:      07/02/23 07:21:50
Action Name:    Tendo
Location:       WILLOWVALE NEW EQUIPMENT ROOM
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.1.1 PF:v3.9.2 PN:apc_hw03_aos_392.bin AF1:v3.9.1 AN1:apc_hw03_acrp_391.bin MN:ACRP102 HR:04 SN: JK1451001098 MD:12/19/2014)
Alert ID:       nbErrorCond_46889F2F
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Genset not in auto
",Alarm
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"POTRAZ HQ: Primary generator (275kVA) is in auto mode. 10:07:44
",Informational
"POTRAZ HQ: Primary generator (275kVA) not in auto mode. 10:07:44
",Informational
"FBC: Primary generator (275kVA) is in auto mode. 10:07:44
",Informational
"FBC Generator : Generator is not AUTO MODE as  of  08:18:11. * In the event of mains failure Generator will not start.
",Alarm
"POTRAZ HQ: Primary generator (275kVA) not in auto mode. 10:07:44
",Alarm
"Econet willovale genset not in auto
",Alarm
"Not in auto
",Alarm
"not in auto
",Alarm
"CBZ_KWAME: GENSETS SMS MONITORING SYSTEM IS ONLINE
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Ewz WvlMains Restored
",Informational
"Ewz Wvl GenB stopped
",Informational
"Ewz Wvl 700KVA GenA stopped
",Informational
"
Econet willovale genset not in auto
",Alarm
"not in auto
",Alarm
"not in auto
",Alarm
"not in auto
",Alarm
"Econet willovale genset not in auto
",Alarm
"FBC Generator : Generator is not AUTO MODE as  of  08:18:11. * In the event of mains failure Generator will not start.
",Alarm
"FBC Generator : Generator is not AUTO MODE as  of  08:18:11. * In the event of mains failure Generator will not start.
",Alarm
"ZIMSWITCH NEWLANDS: The secondary generator is running.
",Informational
"ZIMSWITCH NEWLANDS: The secondary generator has stopped running.
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"POTRAZ HQ: Primary generator (275kVA) not in auto mode. 10:07:44
",Alarm
"Not in auto
",Alarm
"POTRAZ HQ: Primary generator (275kVA) not in auto mode. 10:07:44
",Alarm
"POTRAZ HQ: Primary generator (275kVA) not in auto mode. 10:07:44
",Alarm
"POTRAZ HQ: Primary generator (275kVA) not in auto mode. 10:07:44
",Alarm
"FBC Samora Genset SMS system online.
",Informational
"Delta Cripps DC_Genset not inAuto
",Alarm
"ZESA NOT AVAILABLE,Alarm 
zesa_status @ 27/05/2023 07:19:46
 ZESA GONE 
Powered by Tendo NOC
",Alarm
"CBZ  DR:AVR has a fault ,please attend.
",Alarm
"Good morning tendo we have a critical generator fault
",Alarm
"ZESA NOT AVAILABLE,Alarm 
zesa_status @ 27/05/2023 07:19:46
 ZESA GONE 
Powered by Tendo NOC
",Alarm
"Generator stopped running
",Informational
"Kuzo generator emergence shutdown
",Informational
"Kuzo generator emergence shutdown
",Alarm
"Fuel level low
",Alarm
"Kuzo generator emergence shutdown
",Alarm
"Fuel level low
",Informational
"Generator high coolant temperature 
",Informational
"CBZ_KWAME: GENSETS SMS MONITORING SYSTEM IS ONLINE
",Informational
"Generator high coolant temperature 
",Alarm
"Fuel level low
",Alarm
"POTRAZ HQ: Primary generator (275kVA) not in auto mode. 10:07:44
",Alarm
"Delta Cripps DC_Genset running
",Informational
"Stanbic DR GensetB Not In Auto Warning
",Alarm
"CBZ_KWAME: 250KVA GENSET FAULT CLEARED
",Informational
"CBZ_KWAME: 250KVA GENSET FAULT
",Informational
"Testing


Regards


Tendo Electronics Network Operations Centre

[1682428267068]
",Informational
"CBZ_KWAME: 250KVA GENSET FAULT please attend
",Alarm
"CBZ_KWAME: 250KVA GENSET FAULT please attend
",Alarm
"Ups running on battery
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Critical alarm Ups running on battery
",Informational
"running on battery
",Informational
"Battery low
",Alarm
"FBC Power Room SMS Monitoring system online.
",Informational
"Test email
",Informational
"Test email
",Informational
"MEFMI: Inverter alarm alert, Please check.
",Alarm
"Test email
",Informational
"Delta Cripps DC_Genset fault cleared
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Test email
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Test email
",Informational
"NMB HQ Power SMS system is online
",Informational
"CBZ  DR:AVR has a fault ,please attend.
",Alarm
"Stanbic DR GensetB running
",Informational
"CBZ  DR: 165KVA Genset is now running.
",Informational
"Stanbic DR GensetA running
",Informational
"CBZ  DR:AVR fault cleared.
",Informational
"Test email
",Informational
"Are you alive 
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Test email
",Informational
"Test email
",Informational
"Stanbic DR Genset SMS monitoring system signal strength is now restored above 40% system is online
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"

Regards


Tendo Electronics Network Operations Centre

[1682428267068]


________________________________
From: noreply@relay.talk2m.com <noreply@relay.talk2m.com> on behalf of Stanbic Samora <relay+2136-0295-21@relay.talk2m.com>
Sent: Sunday, July 2, 2023 1:57 PM
To: Kuzotungamira Mudzorwi; Michael Chigwedere; Kennedy Chando
Cc: Elliot Mahala; TendoNOC
Subject: Stanbic Samora Water Monitoring

Stanbic Samora Water Remote Monitoring
Variable: Water_Level_High reached value: 0
generated ALM LVL @ 02/07/2023 13:50:13 action required: High water level
Powered by Tendo NOC
",Informational
"MEGAPAK PET 1 GENERATOR : Generator running.
",Informational
"MEGAPAK PET 1 GENERATOR : Generator stopped.
",Informational
"Test email
",Informational
"Stanbic DR GensetA not in auto WARNING!
",Alarm
"Stanbic DR GensetA running
",Informational
"Stanbic DR GensetA in auto mode
",Informational
"Stanbic DR GensetB Not In Auto Warning
",Alarm
"Stanbic DR GensetB running
",Informational
"Stanbic DR GensetA stopped running
",Informational
"Test email
",Informational
"Test email
",Informational
"Testing  on NOC Phone
",Informational
"Testing again 
",Informational
"123 Testing 
",Informational
"Testing 
",Informational
"Testing 
",Informational
"Testing 
",Informational
"Testing 
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Alarm
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Generator high coolant temperature 
",Alarm
"ZIMSWITCH NEWLANDS Datacenter SMS monitoring system is online
",Informational
"Admin Number is: 0713995663
",Informational
"CBZ_KWAME: GENSETS SMS MONITORING SYSTEM IS ONLINE
",Informational
"FBC Generator : Generator is not AUTO MODE as  of  11:35:01. * In the event of mains failure Generator will not start.
",Alarm
"Test email
",Informational
"Test email
",Informational
"
Testing

",Informational
"POTRAZ HQ: Non essential Power output not available. Attend!. 12:30:25
",Alarm
"POTRAZ HQ: Non Essential Power output ok. 12:36:23
",Informational
"POTRAZ HQ: Primary generator (275kVA) is not in auto mode.12:36:37
",Alarm
"POTRAZ HQ: Non essential Power output not available. Attend!. 12:37:20
",Alarm
"POTRAZ HQ: Primary generator (275kVA) is not in auto mode.12:37:52
",Alarm
"POTRAZ HQ: Primary generator (275kVA) is not in auto mode.12:38:32
",Alarm
"POTRAZ HQ: Primary generator (275kVA) is not in auto mode.12:39:53
",Alarm
"POTRAZ HQ: Primary generator (275kVA) has an alarm. Attent! 12:40:07
",Informational
"Stanbic DR mains failure warning
",Informational
"CBZ  DR:AVR has a fault ,please attend.
",Alarm
"CBZ  DR: 165KVA Genset is now running.
",Informational
"Stanbic DR GensetB running
",Informational
"CBZ  DR:AVR fault cleared.
",Informational
"Stanbic DR GensetA running
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"CBZ  DR:Mains failure.
",Informational
"Stanbic DR mains failure warning
",Informational
"CBZ  DR:Essential power is now available.
",Informational
"Stanbic DR mains restored
",Informational
"CBZ  DR:Mains restored.
",Informational
"Stanbic DR GensetB  has stopped running
",Informational
"POTRAZ HQ: Primary generator (275kVA) is not in auto mode.13:06:37
",Alarm
"POTRAZ HQ: Primary generator (275kVA) is not in auto mode.13:07:21
",Alarm
"POTRAZ HQ: Primary generator (275kVA) has an alarm. Attent! 13:09:00
",Alarm
"POTRAZ HQ: Primary generator (275kVA) is in auto mode. 13:10:32
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Stanbic DR GensetB running
",Informational
"Stanbic DR GensetA running
",Informational
"Stanbic DR Genset SMS monitoring system signal strength is now restored above 40% system is online
",Informational
"POTRAZ HQ: Secondary generator (40kVA) is not in auto mode. 13:29:13
",Alarm
"POTRAZ HQ: Secondary generator (40kVA) is running. 13:29:24
",Informational
"POTRAZ HQ: Secondary generator stopped. 13:33:07
",Informational
"Stanbic DR mains failure warning
",Informational
"Stanbic DR mains restored
",Informational
"Secondary Generator  Stopped.
",Informational
"Stanbic DR GensetB  has stopped running
",Informational
"POTRAZ HQ: Primary generator (275kVA) running. 13:47:37
",Informational
"POTRAZ HQ: Primary generator (275kVA) is in auto mode. 13:47:50
",Informational
"POTRAZ HQ: Non Essential Power output ok. 13:48:38
",Informational
"POTRAZ HQ: Primary generator (275kVA) stopped. 13:50:46
",Informational
"POTRAZ HQ: Primary generator (275kVA) is in auto mode. 13:50:58
",Informational
"POTRAZ HQ: Primary generator (275kVA) is not in auto mode.15:24:37
",Alarm
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"POTRAZ HQ: Primary generator (275kVA) running. 15:46:23
",Informational
"POTRAZ HQ: Primary generator (275kVA) is in auto mode. 15:47:10
",Informational
"POTRAZ HQ: Primary generator (275kVA) stopped. 15:50:14
",Informational
"POTRAZ HQ: Primary generator (275kVA) is in auto mode. 15:50:25
",Informational
"Delta Cripps DC_Genset not inAuto
",Alarm
"Delta Cripps DC_Genset running
",Informational
"Delta Cripps DC_Genset back inAuto
",Informational
"Delta Cripps stopped running
",Informational
"POTRAZ HQ: Secondary generator (40kVA) is running. 16:11:21
",Informational
"POTRAZ HQ: Secondary generator (40kVA) is in auto mode. 16:11:32
",Informational
"POTRAZ HQ: Secondary generator stopped. 16:14:25
",Informational
"ZB DR Mains Failure.
",Informational
"ZB DR 110kva Genset running.
",Informational
"NMB HQ: AC Input (Generator/ZESA) unavailable Site running entirely on Solar
",Alarm
"Can we use this one
",Informational
"NMB HQ: Secondary Generator (100KVA) is running
",Informational
"NMB HQ: Secondary Generator (100KVA) alarm cleared/is in auto mode.
",Informational
"NMB HQ: Secondary Generator (100KVA) alarm cleared/is in auto mode.
",Informational
"FBC DC SMS system online
",Informational
"NMB HQ: Primary Generator isnot in Auto/has alarm, please check.
",Alarm
"NMB HQ: Building Solar Batteries Low. Attend!
",Alarm
"NMB HQ: Primary Generator (250KVA) is in auto/alarm has been cleared.
",Informational
"NMB HQ: Primary Generator (250KVA) is running
",Informational
"NMB HQ: AC input (Generator/ZESA) power restored
",Informational
"NMB HQ: Secondary Generator (100KVA) has stopped
",Informational
"MEGAPAK PET 1 GENERATOR : Daily start has been initiated.
",Informational
"NMB HQ: Primary (250KVA) Generator stopped
",Informational
"ZB DR Mains restored.
",Informational
"ZB DR 110kva Genset has stopped running.
",Informational
"Ewz Wvl genset SMS monitoring system online
",Informational
"NMB HQ: Building Solar Battery are fully charged.
",Informational
"Delta Cripps Genset SMS system is online!
",Informational
"NMBHQ Datacenter SMS monitoring system online
",Informational
"ZIMSWITCH Power sms monitoring system is online
",Informational
"POTRAZ HQ power sms system online
",Informational
"Stanbic DR Genset SMS monitoring system signal strength is now restored above 40% system is online
",Informational
"FBC Samora Genset SMS system online.
",Informational
"POTRAZ HQ: Essential Power Input Unavailable, essential load running entirely on solar. 04:10:23
",Alarm
"POTRAZ HQ: Essential Power input available. 04:27:27
",Informational
"POTRAZ HQ: Non Essential Power Input available. 04:27:38
",Informational
"POTRAZ HQ: Essential Power Input Unavailable, essential load running entirely on solar. 04:31:22
",Alarm
"POTRAZ HQ: Non Essential Power Input Unavailalble, Non essential load running entirely on solar. 04:31:33
",Informational
"POTRAZ HQ: Primary generator (275kVA) running. 05:16:45
",Informational
"POTRAZ HQ: Essential Power input available. 05:17:14
",Informational
"POTRAZ HQ: Non Essential Power Input available. 05:17:25
",Informational
"POTRAZ HQ: Primary generator (275kVA) stopped. 06:41:53
",Informational
"POTRAZ HQ: Primary generator (275kVA) is in auto mode. 06:42:03
",Informational
"ZIMSWITCH NEWLANDS Datacenter SMS monitoring system is online
",Informational
"CBZ_KWAME: GENSETS SMS MONITORING SYSTEM IS ONLINE
",Informational
"MEGAPAK PET 1 GENERATOR: Mains Failure warning!
",Informational
"NMB HQ Power SMS system is online
",Informational
"MEGAPAK PET 1 GENERATOR: Mains restored!
",Informational
"CBZ  DR:AVR has a fault ,please attend.
",Alarm
"CBZ  DR: 165KVA Genset is now running.
",Informational
"CBZ  DR:AVR fault cleared.
",Informational
"CBZ  DR:Mains failure.
",Informational
"CBZ  DR:Essential power is now available.
",Informational
"CBZ  DR:Mains restored.
",Informational
"Stanbic DR Genset SMS monitoring system signal strength is now restored above 40% system is online
",Informational
"MEGAPAK PET 1 GENERATOR : Generator running.
",Informational
"MEGAPAK PET 1 GENERATOR: Mains Failure warning!
",Informational
"FBC DC SMS system online
",Informational
"MEGAPAK PET 1 GENERATOR: Mains restored!
",Informational
"MEGAPAK PET 1 GENERATOR : Generator stopped.
",Informational
"MEGAPAK PET 1 GENERATOR: Mains Failure warning!
",Informational
"MEGAPAK PET 1 GENERATOR : Daily start has been initiated.
",Informational
"MEGAPAK PET 1 GENERATOR: Mains restored!
",Informational
"Ewz Wvl genset SMS monitoring system online
",Informational
"Ewz Wvl Mains Failure!
",Informational
"Ewz Wvl GenB running
",Informational
"Ewz Wvl 700KVA GenA running
",Informational
"Ewz Wvl GenB stopped
",Informational
"Ewz Wvl 700KVA GenA stopped
",Informational
"Alert Title:    Battery Fault
Alert Description:

A battery fault exists.

Recommended Action: Replace all faulty batteries. You can use the APC Product Selector (http://www.apc.com/go/direct/index.cfm?tag=selectors) page to order new batteries.

Alert Type:     Device Alarm
Severity:       Critical
Alert Level:    Tendo
Device: WVL UPS B_UPSRM (10.254.247.102)
Time Detected:  07/05/23 21:24:30
Notification Time:      07/05/23 21:29:30
Notification Policy:    Willowvale
Action Name:    Tendo
Location:       WILLOWVALE UPS ROOM NEW IS
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.0.6 PF:v3.7.5 PN:apc_hw03_aos_375.bin AF1:v3.7.6 AN1:apc_hw03_px2_376.bin MN:0G-9354 HR:0C SN: PD1444112350 MD:11/07/2014) (Embedded PowerNet SNMP Agent SW v2.2 compatible)
Alert ID:       nbErrorCond_CAEB4F6D
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Alarm
"Alert Title:    Battery Replacement Needed
Alert Description:

At least one faulty battery exists.

Recommended Action: Replace all faulty batteries. You can use the APC Product Selector (http://www.apc.com/go/direct/index.cfm?tag=selectors) page to order new batteries.

Alert Type:     Device Alarm
Severity:       Critical
Alert Level:    Tendo
Device: WVL UPS B_UPSRM (10.254.247.102)
Time Detected:  07/05/23 21:24:30
Notification Time:      07/05/23 21:29:30
Notification Policy:    Willowvale
Action Name:    Tendo
Location:       WILLOWVALE UPS ROOM NEW IS
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.0.6 PF:v3.7.5 PN:apc_hw03_aos_375.bin AF1:v3.7.6 AN1:apc_hw03_px2_376.bin MN:0G-9354 HR:0C SN: PD1444112350 MD:11/07/2014) (Embedded PowerNet SNMP Agent SW v2.2 compatible)
Alert ID:       nbErrorCond_979F1E06
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Alarm
"Alert Title:    Rack Inlet 1 High Temperature Violation
Alert Description:

Rack inlet 1 high temperature violation exists.

Recommended Action: Make sure the temperature sensor is placed properly. At the management interface, make sure the threshold is set correctly in the 'Unit Thresholds' page. If the problem persists, contact APC Support (http://www.apc.com/go/direct/index.cfm?tag=support).

Alert Type:     Device Alarm
Severity:       Critical
Alert Level:    Tendo
Device: WVL SWITCH INROW 8 (10.254.247.92)
Time Detected:  07/05/23 21:33:13
Notification Time:      07/05/23 21:38:13
Notification Policy:    Willowvale
Action Name:    Tendo
Location:       WILLOWVALE NEW EQUIPMENT ROOM
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.1.1 PF:v3.9.2 PN:apc_hw03_aos_392.bin AF1:v3.9.1 AN1:apc_hw03_acrp_391.bin MN:ACRP102 HR:04 SN: JK1451001098 MD:12/19/2014)
Alert ID:       nbErrorCond_FA6D235A
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Alert Title:    Battery Fault Cleared
Alert Description:

A battery fault no longer exists.

Alert Type:     Device Alarm
Severity:       Critical (returned to normal)
Alert Level:    Return To Normal
Device: WVL UPS B_UPSRM (10.254.247.102)
Time Detected:  07/05/23 21:24:30
Time Returned to Normal:        07/05/23 21:33:31
Notification Time:      07/05/23 21:59:18
Notification Policy:    Willowvale
Action Name:    Tendo
Location:       WILLOWVALE UPS ROOM NEW IS
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.0.6 PF:v3.7.5 PN:apc_hw03_aos_375.bin AF1:v3.7.6 AN1:apc_hw03_px2_376.bin MN:0G-9354 HR:0C SN: PD1444112350 MD:11/07/2014) (Embedded PowerNet SNMP Agent SW v2.2 compatible)
Alert ID:       nbErrorCond_CAEB4F6D
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Alert Title:    Battery Replaced
Alert Description:

A faulty battery no longer exists.

Alert Type:     Device Alarm
Severity:       Critical (returned to normal)
Alert Level:    Return To Normal
Device: WVL UPS B_UPSRM (10.254.247.102)
Time Detected:  07/05/23 21:24:30
Time Returned to Normal:        07/05/23 21:33:31
Notification Time:      07/05/23 22:05:15
Action Name:    Tendo
Location:       WILLOWVALE UPS ROOM NEW IS
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.0.6 PF:v3.7.5 PN:apc_hw03_aos_375.bin AF1:v3.7.6 AN1:apc_hw03_px2_376.bin MN:0G-9354 HR:0C SN: PD1444112350 MD:11/07/2014) (Embedded PowerNet SNMP Agent SW v2.2 compatible)
Alert ID:       nbErrorCond_979F1E06
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Alert Title:    Rack Inlet 1 High Temperature Violation Cleared
Alert Description:

Rack inlet 1 high temperature violation no longer exists.

Alert Type:     Device Alarm
Severity:       Critical (returned to normal)
Alert Level:    Return To Normal
Device: WVL SWITCH INROW 8 (10.254.247.92)
Time Detected:  07/05/23 21:33:13
Time Returned to Normal:        07/05/23 21:39:07
Notification Time:      07/05/23 22:15:12
Action Name:    Tendo
Location:       WILLOWVALE NEW EQUIPMENT ROOM
Primary Contact:        NAISON MUTASA
Notes:  APC Web/SNMP Management Card (MB:v4.1.1 PF:v3.9.2 PN:apc_hw03_aos_392.bin AF1:v3.9.1 AN1:apc_hw03_acrp_391.bin MN:ACRP102 HR:04 SN: JK1451001098 MD:12/19/2014)
Alert ID:       nbErrorCond_FA6D235A
Version:        7.5.0.62
[https://drive.google.com/uc?id=1h_eplAGtSHxCKBWqwoKqBAQgz9niMZuW]






[https://drive.google.com/uc?id=1pNh8C2C0NcqOj5h2ZxF_U6u69Oqk4YyA]
",Informational
"Delta Cripps Genset SMS system is online!
",Informational
"NMBHQ Datacenter SMS monitoring system online
",Informational
"ZIMSWITCH Power sms monitoring system is online
",Informational
"POTRAZ HQ power sms system online
",Informational
"Stanbic DR Genset SMS monitoring system signal strength is now restored above 40% system is online
",Informational
"FBC Samora Genset SMS system online.
",Informational
"ZIMSWITCH NEWLANDS Datacenter SMS monitoring system is online
",Informational
"FBC Generator : Generator is not AUTO MODE as  of  08:47:28. * In the event of mains failure Generator will not start.
",Alarm
"FBC Generator : Generator fault at 08:49:08, please attend.
",Alarm
"FBC Generator : Generator is in  AUTO MODE as of 08:50:37.
",Informational
"FBC Generator : Generator fault cleared at 08:53:14.
",Informational
"CBZ_KWAME: GENSETS SMS MONITORING SYSTEM IS ONLINE
",Informational
"Generator high coolant temperature 
",Alarm
"NMB HQ Power SMS system is online
",Informational
"Stanbic DR Genset SMS monitoring system signal strength is now restored above 40% system is online
",Informational
"Ewz Wvl Mains Failure!
",Informational
"Ewz Wvl 500kVA sets: Gensets running
",Informational
"ZB DR Mains Failure.
",Informational
"ZB DR 110kva Genset running.
",Informational
"NMB HQ: AC Input (Generator/ZESA) unavailable Site running entirely on Solar
",Alarm
"Ewz WvlMains Restored
",Informational
"MEGAPAK PET 1 GENERATOR: Mains Failure warning!
",Informational
"Ewz Wvl 500kVA sets: Gensets have stopped
",Informational
"Ewz Wvl 500kVA sets: Gensets in auto
",Informational
"MEGAPAK PET 1 GENERATOR : Generator running.
",Informational
"Ewz Wvl 500kVA sets: Gensets not in auto
",Alarm
